OSM_ID,BUILDING,A_STRT,A_SBRB,A_HSNMBR,B_LEVELS,NAME
207614040,yes,,,,"1",
188630393,yes,,,,"1",
207614041,yes,,,,"1",
207614035,yes,,,,"1",
207614043,yes,,,,"1",
188630370,yes,,,,"1",
155182639,yes,,,,"1",
207613099,yes,,,,"1",
207613119,yes,,,,"1",
196497290,yes,,,,"1",
207614060,yes,,,,"1",
207614024,yes,,,,"1",
207614059,yes,,,,"1",
188630373,yes,,,,"1",
207614019,yes,,,,"1",
207613096,yes,,,,"1",
207613122,yes,,,,"1",
207613996,yes,,,,"1",
188630371,yes,,,,"1",
188630412,yes,,,,"1",
188630372,yes,,,,"1",
188630345,yes,,,,"3",Кондитерская фабрика
188630376,yes,,,,"1",
207613097,yes,,,,"1",
207614052,yes,,,,"1",
207613092,yes,,,,"1",
207614028,yes,,,,"1",
207613108,yes,,,,"1",
207613087,yes,,,,"1",
207613107,yes,,,,"1",
207613086,yes,,,,"1",
207614065,yes,,,,"1",
207613123,yes,,,,"1",
207613094,yes,,,,"1",
207613101,yes,,,,"1",
207613106,yes,,,,"1",
188630375,yes,,,,"1",
207613083,yes,,,,"1",
207614030,yes,,,,"1",
207613994,yes,,,,"1",
188630383,yes,,,,"1",
207613114,yes,,,,"1",
207614050,yes,,,,"1",
207614048,yes,,,,"1",
207613091,yes,,,,"1",
207613128,yes,,,,"1",
207614018,yes,,,,"1",
188630377,yes,,,,"1",
207468346,yes,,,,"1",
207613112,yes,,,,"1",
207468347,yes,,,,"1",
188630403,yes,,,,"1",
207614011,yes,,,,"1",
207613084,yes,,,,"1",
180825327,yes,,,,"1",
188630350,yes,,,,"1",
207468368,yes,,,,"1",
207613991,yes,,,,"1",
207468350,yes,,,,"1",
207614046,yes,,,,"1",
188630362,yes,,,,"1",
207613113,yes,,,,"1",
207614038,yes,,,,"1",
188630357,yes,,,,"1",
207613127,yes,,,,"1",
207614044,yes,,,,"1",
188630405,yes,,,,"1",
188630353,yes,,,,"1",
207468358,yes,,,,"1",
207614033,yes,,,,"1",
207614022,yes,,,,"1",
188630404,yes,,,,"1",
207614027,yes,,,,"1",
207468345,yes,,,,"1",
188630385,yes,,,,"1",
188630392,yes,,,,"1",
207613085,yes,,,,"1",
207613999,yes,,,,"1",
188630402,yes,,,,"1",
207614021,yes,,,,"1",
207614026,yes,,,,"1",
188630394,yes,,,,"1",
207613125,yes,,,,"1",
188630358,yes,,,,"1",
207613104,yes,,,,"1",
207595921,yes,,,,"1",
207595772,yes,,,,"1",
188630382,yes,,,,"1",
188630386,yes,,,,"1",
188630399,yes,,,,"1",
188630356,yes,,,,"1",
188630389,yes,,,,"1",
207595922,yes,,,,"1",
207595866,yes,,,,"1",
207595760,yes,,,,"1",
188630364,yes,,,,"1",
188630361,yes,,,,"1",
188630360,yes,,,,"1",
207613105,yes,,,,"1",
207613111,yes,,,,"1",
188630398,yes,,,,"1",
207595757,yes,,,,"1",
207613115,yes,,,,"1",
188630365,yes,,,,"1",
188630368,yes,,,,"1",
207613090,yes,,,,"1",
188630409,yes,,,,"1",
207595867,yes,,,,"1",
207613120,yes,,,,"1",
188630387,yes,,,,"1",
188630349,yes,,,,"1",
207595719,yes,,,,"1",
188630418,yes,,,,"1",
188630400,yes,,,,"1",
188630416,yes,,,,"1",
131348810,yes,,,,,
207595744,yes,,,,"1",
188630363,yes,,,,"1",
188630384,yes,,,,"1",
207613098,yes,,,,"1",
188630354,yes,,,,"1",
188630411,yes,,,,"1",
188630406,yes,,,,"1",
188630352,yes,,,,"1",
207595884,yes,,,,"1",
207595908,yes,,,,"1",
188630351,yes,,,,"1",
207595737,yes,,,,"1",
207595660,yes,,,,"1",
207595935,yes,,,,"1",
207595794,yes,,,,"1",
188630359,yes,,,,"1",
188630414,yes,,,,"1",
207595685,yes,,,,"1",
207595816,yes,,,,"1",
207595805,yes,,,,"1",
207613118,yes,,,,"1",
207595861,yes,,,,"1",
207613121,yes,,,,"1",
207595808,yes,,,,"1",
